neighborhood,service,closed,open
Balboa Park,Dead Animal,46,0
Balboa Park,Development Services - Code Enforcement,2,0
Balboa Park,Encampment,1484,219
Balboa Park,Environmental Services Code Compliance,25,1
Balboa Park,Graffiti,977,0
Balboa Park,Graffiti - Code Enforcement,12,2
Balboa Park,Graffiti - Public,137,41
Balboa Park,Illegal Dumping,255,29
Balboa Park,Missed Collection,7,0
Balboa Park,Other,413,0
Balboa Park,Parking,87,4
Balboa Park,Parks Issue,636,66
Balboa Park,Pavement Maintenance,15,10
Balboa Park,Pothole,109,1
Balboa Park,ROW Maintenance,35,70
Balboa Park,Right-of-Way Code Enforcement,0,14
Balboa Park,Shared Mobility Device,60,16
Balboa Park,Sidewalk Repair Issue,117,10
Balboa Park,Stormwater,40,15
Balboa Park,Stormwater Code Enforcement,71,8
Balboa Park,Street Flooded,17,0
Balboa Park,Street Light Maintenance,61,86
Balboa Park,Street Sweeping,32,5
Balboa Park,Traffic Engineering,11,13
Balboa Park,Traffic Sign Maintenance,71,159
Balboa Park,Traffic Signal Issue,26,0
Balboa Park,Traffic Signal Timing,35,0
Balboa Park,Trash/Recycling Collection,1,1
Balboa Park,Tree Maintenance,195,2
Balboa Park,Waste on Private Property,3,1
Balboa Park,Weed Cleanup,23,0
Barrio Logan,Dead Animal,19,0
Barrio Logan,Development Services - Code Enforcement,24,8
Barrio Logan,Encampment,435,40
Barrio Logan,Environmental Services Code Compliance,30,9
Barrio Logan,Graffiti,329,0
Barrio Logan,Graffiti - Code Enforcement,15,30
Barrio Logan,Graffiti - Public,30,69
Barrio Logan,Illegal Dumping,432,23
Barrio Logan,Missed Collection,60,3
Barrio Logan,Other,150,1
Barrio Logan,Parking,184,38
Barrio Logan,Parks Issue,12,2
Barrio Logan,Pavement Maintenance,10,12
Barrio Logan,Pothole,128,0
Barrio Logan,ROW Maintenance,33,68
Barrio Logan,Right-of-Way Code Enforcement,1,6
Barrio Logan,Shared Mobility Device,5,0
Barrio Logan,Sidewalk Repair Issue,32,9
Barrio Logan,Stormwater,2,4
Barrio Logan,Stormwater Code Enforcement,16,0
Barrio Logan,Street Flooded,3,0
Barrio Logan,Street Light Maintenance,14,24
Barrio Logan,Street Sweeping,15,1
Barrio Logan,Traffic Engineering,16,13
Barrio Logan,Traffic Sign Maintenance,24,114
Barrio Logan,Traffic Signal Issue,44,1
Barrio Logan,Traffic Signal Timing,29,2
Barrio Logan,Trash/Recycling Collection,7,0
Barrio Logan,Tree Maintenance,33,38
